client_id,op_num,latency_ms,success
1,1,68,true
1,2,65,true
1,3,63,true
1,4,68,true
1,5,71,true
1,6,73,true
1,7,70,true
1,8,69,true
1,9,66,true
1,10,67,true
1,11,66,true
1,12,64,true
1,13,72,true
1,14,70,true
1,15,65,true
1,16,69,true
1,17,65,true
1,18,68,true
1,19,70,true
1,20,72,true
1,21,67,true
1,22,69,true
1,23,79,true
1,24,65,true
1,25,73,true
1,26,65,true
1,27,69,true
1,28,74,true
1,29,69,true
1,30,69,true
1,31,70,true
1,32,61,true
1,33,62,true
1,34,63,true
1,35,65,true
1,36,73,true
1,37,66,true
1,38,65,true
1,39,68,true
1,40,71,true
1,41,71,true
1,42,71,true
1,43,73,true
1,44,71,true
1,45,70,true
1,46,74,true
1,47,83,true
1,48,72,true
1,49,73,true
1,50,73,true
2,1,64,true
2,2,67,true
2,3,63,true
2,4,92,true
2,5,76,true
2,6,70,true
2,7,72,true
2,8,66,true
2,9,66,true
2,10,64,true
2,11,63,true
2,12,69,true
2,13,70,true
2,14,61,true
2,15,62,true
2,16,68,true
2,17,67,true
2,18,68,true
2,19,67,true
2,20,70,true
2,21,67,true
2,22,72,true
2,23,68,true
2,24,67,true
2,25,90,true
2,26,71,true
2,27,74,true
2,28,72,true
2,29,77,true
2,30,65,true
2,31,68,true
2,32,69,true
2,33,65,true
2,34,67,true
2,35,68,true
2,36,67,true
2,37,73,true
2,38,74,true
2,39,70,true
2,40,71,true
2,41,71,true
2,42,74,true
2,43,66,true
2,44,68,true
2,45,70,true
2,46,68,true
2,47,75,true
2,48,69,true
2,49,79,true
2,50,65,true
3,1,67,true
3,2,64,true
3,3,70,true
3,4,65,true
3,5,70,true
3,6,74,true
3,7,72,true
3,8,69,true
3,9,67,true
3,10,66,true
3,11,63,true
3,12,65,true
3,13,75,true
3,14,68,true
3,15,67,true
3,16,68,true
3,17,67,true
3,18,70,true
3,19,72,true
3,20,70,true
3,21,69,true
3,22,71,true
3,23,71,true
3,24,68,true
3,25,70,true
3,26,66,true
3,27,69,true
3,28,74,true
3,29,70,true
3,30,71,true
3,31,64,true
3,32,65,true
3,33,62,true
3,34,63,true
3,35,64,true
3,36,74,true
3,37,67,true
3,38,63,true
3,39,67,true
3,40,72,true
3,41,71,true
3,42,64,true
3,43,76,true
3,44,75,true
3,45,67,true
3,46,71,true
3,47,73,true
3,48,65,true
3,49,71,true
3,50,71,true
4,1,68,true
4,2,63,true
4,3,69,true
4,4,64,true
4,5,71,true
4,6,75,true
4,7,72,true
4,8,68,true
4,9,66,true
4,10,71,true
4,11,63,true
4,12,62,true
4,13,76,true
4,14,68,true
4,15,67,true
4,16,74,true
4,17,64,true
4,18,69,true
4,19,72,true
4,20,70,true
4,21,66,true
4,22,65,true
4,23,74,true
4,24,69,true
4,25,74,true
4,26,73,true
4,27,70,true
4,28,70,true
4,29,69,true
4,30,71,true
4,31,69,true
4,32,64,true
4,33,65,true
4,34,63,true
4,35,62,true
4,36,74,true
4,37,66,true
4,38,64,true
4,39,67,true
4,40,69,true
4,41,71,true
4,42,73,true
4,43,71,true
4,44,64,true
4,45,71,true
4,46,73,true
4,47,74,true
4,48,65,true
4,49,70,true
4,50,71,true
5,1,64,true
5,2,66,true
5,3,99,true
5,4,64,true
5,5,69,true
5,6,69,true
5,7,73,true
5,8,66,true
5,9,64,true
5,10,64,true
5,11,64,true
5,12,67,true
5,13,71,true
5,14,64,true
5,15,60,true
5,16,68,true
5,17,64,true
5,18,68,true
5,19,73,true
5,20,68,true
5,21,66,true
5,22,72,true
5,23,66,true
5,24,67,true
5,25,71,true
5,26,70,true
5,27,68,true
5,28,69,true
5,29,68,true
5,30,67,true
5,31,63,true
5,32,66,true
5,33,62,true
5,34,63,true
5,35,64,true
5,36,67,true
5,37,66,true
5,38,65,true
5,39,72,true
5,40,67,true
5,41,67,true
5,42,72,true
5,43,73,true
5,44,73,true
5,45,76,true
5,46,78,true
5,47,68,true
5,48,77,true
5,49,75,true
5,50,68,true
