phase,op,key,latency_ms,success
baseline,GET,lub-1,76,true
baseline,GET,lub-2,62,true
baseline,GET,lub-3,65,true
baseline,GET,lub-4,63,true
baseline,GET,lub-5,63,true
baseline,GET,lub-6,177,true
baseline,GET,lub-7,63,true
baseline,GET,lub-8,64,true
baseline,GET,lub-9,65,true
baseline,GET,lub-10,67,true
baseline,GET,lub-11,65,true
baseline,GET,lub-12,60,true
baseline,GET,lub-13,69,true
baseline,GET,lub-14,70,true
baseline,GET,lub-15,72,true
baseline,GET,lub-16,68,true
baseline,GET,lub-17,68,true
baseline,GET,lub-18,71,true
baseline,GET,lub-19,76,true
baseline,GET,lub-20,61,true
under_load,GET,lub-1,65,true
under_load,GET,lub-2,64,true
under_load,GET,lub-3,64,true
under_load,GET,lub-4,62,true
under_load,GET,lub-5,61,true
under_load,GET,lub-6,64,true
under_load,GET,lub-7,66,true
under_load,GET,lub-8,70,true
under_load,GET,lub-9,66,true
under_load,GET,lub-10,67,true
under_load,GET,lub-11,69,true
under_load,GET,lub-12,68,true
under_load,GET,lub-13,68,true
under_load,GET,lub-14,68,true
under_load,GET,lub-15,70,true
under_load,GET,lub-16,68,true
under_load,GET,lub-17,70,true
under_load,GET,lub-18,70,true
under_load,GET,lub-19,68,true
under_load,GET,lub-20,71,true
