read_node,op_num,latency_ms,success
140.112.30.182,1,75,true
140.112.30.182,2,72,true
140.112.30.182,3,66,true
140.112.30.182,4,79,true
140.112.30.182,5,74,true
140.112.30.182,6,67,true
140.112.30.182,7,66,true
140.112.30.182,8,70,true
140.112.30.182,9,73,true
140.112.30.182,10,79,true
140.112.30.183,1,66,true
140.112.30.183,2,62,true
140.112.30.183,3,66,true
140.112.30.183,4,67,true
140.112.30.183,5,62,true
140.112.30.183,6,64,true
140.112.30.183,7,63,true
140.112.30.183,8,64,true
140.112.30.183,9,68,true
140.112.30.183,10,68,true
140.112.30.184,1,65,true
140.112.30.184,2,66,true
140.112.30.184,3,69,true
140.112.30.184,4,66,true
140.112.30.184,5,65,true
140.112.30.184,6,66,true
140.112.30.184,7,69,true
140.112.30.184,8,67,true
140.112.30.184,9,86,true
140.112.30.184,10,68,true
140.112.30.185,1,74,true
140.112.30.185,2,66,true
140.112.30.185,3,66,true
140.112.30.185,4,63,true
140.112.30.185,5,60,true
140.112.30.185,6,69,true
140.112.30.185,7,62,true
140.112.30.185,8,64,true
140.112.30.185,9,66,true
140.112.30.185,10,65,true
140.112.30.186,1,68,true
140.112.30.186,2,64,true
140.112.30.186,3,68,true
140.112.30.186,4,65,true
140.112.30.186,5,67,true
140.112.30.186,6,65,true
140.112.30.186,7,68,true
140.112.30.186,8,67,true
140.112.30.186,9,70,true
140.112.30.186,10,67,true
140.112.30.187,1,70,true
140.112.30.187,2,69,true
140.112.30.187,3,88,true
140.112.30.187,4,69,true
140.112.30.187,5,64,true
140.112.30.187,6,66,true
140.112.30.187,7,71,true
140.112.30.187,8,59,true
140.112.30.187,9,64,true
140.112.30.187,10,66,true
140.112.30.188,1,68,true
140.112.30.188,2,64,true
140.112.30.188,3,64,true
140.112.30.188,4,66,true
140.112.30.188,5,66,true
140.112.30.188,6,65,true
140.112.30.188,7,67,true
140.112.30.188,8,66,true
140.112.30.188,9,72,true
140.112.30.188,10,68,true
140.112.30.189,1,64,true
140.112.30.189,2,67,true
140.112.30.189,3,72,true
140.112.30.189,4,74,true
140.112.30.189,5,68,true
140.112.30.189,6,66,true
140.112.30.189,7,69,true
140.112.30.189,8,68,true
140.112.30.189,9,61,true
140.112.30.189,10,63,true
140.112.30.190,1,65,true
140.112.30.190,2,64,true
140.112.30.190,3,63,true
140.112.30.190,4,60,true
140.112.30.190,5,62,true
140.112.30.190,6,62,true
140.112.30.190,7,65,true
140.112.30.190,8,66,true
140.112.30.190,9,66,true
140.112.30.190,10,65,true
140.112.30.191,1,72,true
140.112.30.191,2,70,true
140.112.30.191,3,68,true
140.112.30.191,4,68,true
140.112.30.191,5,70,true
140.112.30.191,6,69,true
140.112.30.191,7,66,true
140.112.30.191,8,69,true
140.112.30.191,9,74,true
140.112.30.191,10,65,true
