value_size_bytes,op,trial,latency_ms,success
1,PUT,1,64,true
1,PUT,2,66,true
1,PUT,3,65,true
1,PUT,4,67,true
1,PUT,5,101,true
1,PUT,6,62,true
1,PUT,7,66,true
1,PUT,8,73,true
1,PUT,9,66,true
1,PUT,10,74,true
1,GET,1,72,true
1,GET,2,71,true
1,GET,3,67,true
1,GET,4,67,true
1,GET,5,74,true
1,GET,6,63,true
1,GET,7,64,true
1,GET,8,62,true
1,GET,9,63,true
1,GET,10,61,true
100,PUT,1,57,true
100,PUT,2,59,true
100,PUT,3,59,true
100,PUT,4,63,true
100,PUT,5,65,true
100,PUT,6,69,true
100,PUT,7,67,true
100,PUT,8,70,true
100,PUT,9,68,true
100,PUT,10,68,true
100,GET,1,75,true
100,GET,2,68,true
100,GET,3,66,true
100,GET,4,70,true
100,GET,5,64,true
100,GET,6,60,true
100,GET,7,67,true
100,GET,8,64,true
100,GET,9,61,true
100,GET,10,64,true
1024,PUT,1,62,true
1024,PUT,2,67,true
1024,PUT,3,69,true
1024,PUT,4,70,true
1024,PUT,5,74,true
1024,PUT,6,66,true
1024,PUT,7,68,true
1024,PUT,8,67,true
1024,PUT,9,67,true
1024,PUT,10,66,true
1024,GET,1,70,true
1024,GET,2,65,true
1024,GET,3,63,true
1024,GET,4,69,true
1024,GET,5,61,true
1024,GET,6,64,true
1024,GET,7,69,true
1024,GET,8,64,true
1024,GET,9,73,true
1024,GET,10,69,true
10240,PUT,1,104,true
10240,PUT,2,73,true
10240,PUT,3,365,true
10240,PUT,4,73,true
10240,PUT,5,92,true
10240,PUT,6,75,true
10240,PUT,7,73,true
10240,PUT,8,341,true
10240,PUT,9,67,true
10240,PUT,10,340,true
10240,GET,1,82,true
10240,GET,2,78,true
10240,GET,3,84,true
10240,GET,4,74,true
10240,GET,5,79,true
10240,GET,6,76,true
10240,GET,7,79,true
10240,GET,8,76,true
10240,GET,9,84,true
10240,GET,10,79,true
102400,PUT,1,169,true
102400,PUT,2,126,true
102400,PUT,3,164,true
102400,PUT,4,163,true
102400,PUT,5,118,true
102400,PUT,6,161,true
102400,PUT,7,127,true
102400,PUT,8,172,true
102400,PUT,9,167,true
102400,PUT,10,132,true
102400,GET,1,113,true
102400,GET,2,96,true
102400,GET,3,95,true
102400,GET,4,101,true
102400,GET,5,211,true
102400,GET,6,103,true
102400,GET,7,128,true
102400,GET,8,105,true
102400,GET,9,110,true
102400,GET,10,111,true
