key,write_node_a,write_node_b,num_versions_returned,has_conflict,read_node
conflict-1-1771268782919601000,140.112.30.191,140.112.30.187,2,true,140.112.30.186
conflict-2-1771268783535470000,140.112.30.190,140.112.30.189,2,true,140.112.30.187
conflict-3-1771268784143266000,140.112.30.183,140.112.30.186,2,true,140.112.30.185
conflict-4-1771268784760001000,140.112.30.182,140.112.30.184,2,true,140.112.30.185
conflict-5-1771268785384132000,140.112.30.186,140.112.30.191,2,true,140.112.30.187
conflict-6-1771268786001315000,140.112.30.191,140.112.30.187,2,true,140.112.30.184
conflict-7-1771268786615198000,140.112.30.188,140.112.30.186,2,true,140.112.30.184
conflict-8-1771268787226880000,140.112.30.191,140.112.30.185,2,true,140.112.30.185
conflict-9-1771268787845626000,140.112.30.185,140.112.30.184,2,true,140.112.30.191
conflict-10-1771268788464659000,140.112.30.183,140.112.30.186,2,true,140.112.30.185
